Plant types,Type details/species,Shoot mass(g),Actual stand density(no./m2),Reference,
Crop,Planted arabidopsis thaliana (Wild-type),0.045676859,7789.494335,Zhang et al. 2005,
Crop,Planted arabidopsis thaliana (Wild-type),0.012266065,23492.68085,Zhang et al. 2005,
Crop,Planted arabidopsis thaliana (Wild-type),0.002077158,82892.36148,Zhang et al. 2005,
Crop,Planted arabidopsis thaliana (Wild-type),0.000973683,132715.559,Zhang et al. 2005,
Crop,Planted arabidopsis thaliana (Wild-type),0.000452787,223888.9953,Zhang et al. 2005,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
